student_id,full_name,gender,state_of_origin,dob,email,phone,jamb_score,waec_grades,subject_scores,first_choice,second_choice,third_choice,"
        ""passport_photo"": f""https://cdn.example.com/{student_id}/passport.jpg"",
        ""waec_result_file"": f""https://cdn.example.com/{student_id}/waec.pdf"",
        ""jamb_result_file"": f""https://cdn.example.com/{student_id}/jamb.pdf"",created_at",last_login,completion_rate
3b659911-4c1e-42e1-8c9a-1ac07f82352d,Allison Hill,Male,Anambra,4/12/2002,donaldgarcia@example.net,-911,282,"{""English"": ""B2"", ""Mathematics"": ""C6"", ""Physics"": ""A1"", ""Chemistry"": ""C4"", ""Biology"": ""B2"", ""Government"": ""C4"", ""Economics"": ""A1"", ""Literature"": ""C4"", ""CRS"": ""B2"", ""Geography"": ""C6""}","{""English"": 44, ""Mathematics"": 44, ""Physics"": 42, ""Chemistry"": 72, ""Biology"": 47, ""Government"": 82, ""Economics"": 45, ""Literature"": 59, ""CRS"": 67, ""Geography"": 58}",Economics,Accounting,Law,2025-11-28T14:48:49.359384+00:00,2025-11-28T14:48:49.359394+00:00,68
60d4d461-d3ce-4c76-8eb2-b44c7fc244c1,Meredith Barnes,Female,Enugu,6/13/2004,zlawrence@example.org,001-626-254-2351x16155,333,"{""English"": ""C6"", ""Mathematics"": ""C5"", ""Physics"": ""A1"", ""Chemistry"": ""C5"", ""Biology"": ""C4"", ""Government"": ""B3"", ""Economics"": ""C5"", ""Literature"": ""C4"", ""CRS"": ""C5"", ""Geography"": ""B3""}","{""English"": 74, ""Mathematics"": 40, ""Physics"": 49, ""Chemistry"": 40, ""Biology"": 67, ""Government"": 40, ""Economics"": 85, ""Literature"": 53, ""CRS"": 91, ""Geography"": 83}",Architecture,Accounting,Medicine,2025-11-28T14:48:49.359737+00:00,2025-11-28T14:48:49.359743+00:00,45
a8bb0bd8-a0dc-4f03-bab5-c72d3716446d,Kimberly Dudley,Male,Lagos,7/26/2004,smiller@example.net,+1-659-931-0341x316,143,"{""English"": ""B2"", ""Mathematics"": ""A1"", ""Physics"": ""A1"", ""Chemistry"": ""C5"", ""Biology"": ""B2"", ""Government"": ""A1"", ""Economics"": ""C6"", ""Literature"": ""C4"", ""CRS"": ""B2"", ""Geography"": ""A1""}","{""English"": 72, ""Mathematics"": 73, ""Physics"": 95, ""Chemistry"": 45, ""Biology"": 68, ""Government"": 67, ""Economics"": 98, ""Literature"": 92, ""CRS"": 40, ""Geography"": 85}",Medicine,Psychology,Economics,2025-11-28T14:48:49.360043+00:00,2025-11-28T14:48:49.360048+00:00,86
7d404aec-0b26-4733-8f37-a9de6a3276ff,Holly Wood,Male,Kaduna,8/10/2007,elizabethmiles@example.net,+1-219-528-3276x4835,320,"{""English"": ""C4"", ""Mathematics"": ""A1"", ""Physics"": ""C5"", ""Chemistry"": ""C4"", ""Biology"": ""C5"", ""Government"": ""B2"", ""Economics"": ""B2"", ""Literature"": ""B2"", ""CRS"": ""C5"", ""Geography"": ""A1""}","{""English"": 61, ""Mathematics"": 51, ""Physics"": 68, ""Chemistry"": 73, ""Biology"": 48, ""Government"": 47, ""Economics"": 41, ""Literature"": 60, ""CRS"": 97, ""Geography"": 71}",Accounting,Accounting,Accounting,2025-11-28T14:48:49.360402+00:00,2025-11-28T14:48:49.360406+00:00,77
6d02bd35-eb5e-4028-ae99-c1483baf6638,Renee Morales,Male,Kano,2/17/2008,clarksherri@example.net,837-767-2423x88496,143,"{""English"": ""A1"", ""Mathematics"": ""A1"", ""Physics"": ""C4"", ""Chemistry"": ""A1"", ""Biology"": ""A1"", ""Government"": ""C4"", ""Economics"": ""B2"", ""Literature"": ""C5"", ""CRS"": ""A1"", ""Geography"": ""A1""}","{""English"": 40, ""Mathematics"": 43, ""Physics"": 89, ""Chemistry"": 67, ""Biology"": 89, ""Government"": 76, ""Economics"": 90, ""Literature"": 50, ""CRS"": 42, ""Geography"": 54}",Pharmacy,Accounting,Pharmacy,2025-11-28T14:48:49.360757+00:00,2025-11-28T14:48:49.360762+00:00,58
43b42235-3c42-4f8a-b9a7-11df147705b6,Zachary Hicks,Male,Kano,8/21/2006,camposmichelle@example.org,+1-326-691-6697x8480,242,"{""English"": ""C4"", ""Mathematics"": ""B3"", ""Physics"": ""C5"", ""Chemistry"": ""B3"", ""Biology"": ""B3"", ""Government"": ""C4"", ""Economics"": ""B2"", ""Literature"": ""B3"", ""CRS"": ""A1"", ""Geography"": ""C5""}","{""English"": 75, ""Mathematics"": 71, ""Physics"": 60, ""Chemistry"": 64, ""Biology"": 72, ""Government"": 58, ""Economics"": 86, ""Literature"": 62, ""CRS"": 45, ""Geography"": 66}",Law,Accounting,Medicine,2025-11-28T14:48:49.361120+00:00,2025-11-28T14:48:49.361124+00:00,65
3e7fea4b-fadd-4c74-99ff-29268758c7fa,Gina Carter,Male,Abuja,3/24/2007,shawnmckay@example.net,282-781-4893x252,267,"{""English"": ""A1"", ""Mathematics"": ""A1"", ""Physics"": ""C6"", ""Chemistry"": ""C6"", ""Biology"": ""C5"", ""Government"": ""C6"", ""Economics"": ""B3"", ""Literature"": ""B2"", ""CRS"": ""B2"", ""Geography"": ""C5""}","{""English"": 81, ""Mathematics"": 82, ""Physics"": 75, ""Chemistry"": 61, ""Biology"": 86, ""Government"": 58, ""Economics"": 67, ""Literature"": 84, ""CRS"": 55, ""Geography"": 41}",Accounting,Computer Science,Psychology,2025-11-28T14:48:49.361461+00:00,2025-11-28T14:48:49.361466+00:00,62
60c1dedb-5ca8-47c9-80f8-3eadfc0e0949,Brian Cox DVM,Female,Rivers,3/12/2005,john39@example.org,671-882-2782,151,"{""English"": ""C6"", ""Mathematics"": ""C5"", ""Physics"": ""C6"", ""Chemistry"": ""B2"", ""Biology"": ""C6"", ""Government"": ""B2"", ""Economics"": ""B3"", ""Literature"": ""C4"", ""CRS"": ""C5"", ""Geography"": ""C6""}","{""English"": 86, ""Mathematics"": 66, ""Physics"": 81, ""Chemistry"": 60, ""Biology"": 85, ""Government"": 62, ""Economics"": 58, ""Literature"": 53, ""CRS"": 40, ""Geography"": 90}",Architecture,Psychology,Psychology,2025-11-28T14:48:49.361731+00:00,2025-11-28T14:48:49.361736+00:00,75
96453dcd-cfd1-4679-b84a-8fdffe6caebe,Tanya Campos,Female,Kano,9/16/2002,jenniferross@example.net,+1-557-587-1331x5098,318,"{""English"": ""C5"", ""Mathematics"": ""C4"", ""Physics"": ""C5"", ""Chemistry"": ""B3"", ""Biology"": ""C6"", ""Government"": ""C4"", ""Economics"": ""B2"", ""Literature"": ""B2"", ""CRS"": ""B3"", ""Geography"": ""A1""}","{""English"": 43, ""Mathematics"": 69, ""Physics"": 75, ""Chemistry"": 73, ""Biology"": 59, ""Government"": 61, ""Economics"": 90, ""Literature"": 66, ""CRS"": 72, ""Geography"": 57}",Accounting,Architecture,Architecture,2025-11-28T14:48:49.362086+00:00,2025-11-28T14:48:49.362091+00:00,65
690e6f83-6c59-4f5a-a6a2-f4ad4348ffa7,Michael Brown,Male,Kaduna,8/28/2004,whiteheadmichele@example.org,334.373.8299x73763,334,"{""English"": ""C5"", ""Mathematics"": ""A1"", ""Physics"": ""A1"", ""Chemistry"": ""C5"", ""Biology"": ""C5"", ""Government"": ""B3"", ""Economics"": ""C5"", ""Literature"": ""C4"", ""CRS"": ""C5"", ""Geography"": ""B3""}","{""English"": 90, ""Mathematics"": 67, ""Physics"": 73, ""Chemistry"": 73, ""Biology"": 89, ""Government"": 85, ""Economics"": 87, ""Literature"": 61, ""CRS"": 83, ""Geography"": 77}",Accounting,Accounting,Computer Science,2025-11-28T14:48:49.362423+00:00,2025-11-28T14:48:49.362427+00:00,99
